DATE,USSTHPI
1975-01-01,61.0075000000000000
1976-01-01,65.4875000000000000
1977-01-01,73.4000000000000000
1978-01-01,83.7200000000000000
1979-01-01,95.1350000000000000
1980-01-01,102.6450000000000000
1981-01-01,107.2200000000000000
1982-01-01,108.4175000000000000
1983-01-01,116.2450000000000000
1984-01-01,121.4475000000000000
1985-01-01,127.6525000000000000
1986-01-01,136.3675000000000000
1987-01-01,145.1975000000000000
1988-01-01,152.9850000000000000
1989-01-01,161.0575000000000000
1990-01-01,166.1125000000000000
1991-01-01,169.2775000000000000
1992-01-01,173.9950000000000000
1993-01-01,178.0550000000000000
1994-01-01,182.5675000000000000
1995-01-01,188.1375000000000000
1996-01-01,194.6275000000000000
1997-01-01,201.1400000000000000
1998-01-01,211.4425000000000000
1999-01-01,221.8375000000000000
2000-01-01,236.0275000000000000
2001-01-01,253.6800000000000000
2002-01-01,269.7450000000000000
2003-01-01,286.5650000000000000
2004-01-01,313.4225000000000000
2005-01-01,348.9850000000000000
2006-01-01,373.9950000000000000
2007-01-01,378.1425000000000000
2008-01-01,358.7175000000000000
2009-01-01,338.8125000000000000
2010-01-01,324.9875000000000000
2011-01-01,312.4375000000000000
2012-01-01,311.6075000000000000
2013-01-01,323.2975000000000000
2014-01-01,339.4300000000000000
2015-01-01,356.8550000000000000
2016-01-01,375.5225000000000000
2017-01-01,395.8825000000000000
2018-01-01,417.8050000000000000
2019-01-01,437.1550000000000000
2020-01-01,459.7075000000000000
2021-01-01,522.8900000000000000
2022-01-01,611.1275000000000000
2023-01-01,646.4775000000000000
