DATE,ATNHPIUS41940Q
1976-01-01,21.5725000000000000
1977-01-01,27.6300000000000000
1978-01-01,31.7675000000000000
1979-01-01,37.2675000000000000
1980-01-01,45.4075000000000000
1981-01-01,50.6875000000000000
1982-01-01,48.1200000000000000
1983-01-01,51.9400000000000000
1984-01-01,55.0125000000000000
1985-01-01,59.3050000000000000
1986-01-01,63.6050000000000000
1987-01-01,69.3325000000000000
1988-01-01,82.2350000000000000
1989-01-01,107.0650000000000000
1990-01-01,110.6925000000000000
1991-01-01,106.1775000000000000
1992-01-01,104.8550000000000000
1993-01-01,102.2000000000000000
1994-01-01,100.1650000000000000
1995-01-01,101.3900000000000000
1996-01-01,105.4600000000000000
1997-01-01,117.1550000000000000
1998-01-01,133.0575000000000000
1999-01-01,148.5525000000000000
2000-01-01,188.4225000000000000
2001-01-01,210.4650000000000000
2002-01-01,211.6250000000000000
2003-01-01,217.2175000000000000
2004-01-01,240.2350000000000000
2005-01-01,290.3800000000000000
2006-01-01,316.9550000000000000
2007-01-01,310.1975000000000000
2008-01-01,274.9225000000000000
2009-01-01,241.0725000000000000
2010-01-01,241.0975000000000000
2011-01-01,235.9150000000000000
2012-01-01,242.6975000000000000
2013-01-01,276.9100000000000000
2014-01-01,309.8975000000000000
2015-01-01,341.0500000000000000
2016-01-01,368.1475000000000000
2017-01-01,384.7475000000000000
2018-01-01,422.9000000000000000
2019-01-01,418.1275000000000000
2020-01-01,417.0425000000000000
2021-01-01,442.6300000000000000
2022-01-01,510.4925000000000000
2023-01-01,528.3550000000000000
