DATE,CASTHPI
1975-01-01,43.6400000000000000
1976-01-01,51.8150000000000000
1977-01-01,64.9225000000000000
1978-01-01,77.4075000000000000
1979-01-01,90.7625000000000000
1980-01-01,104.4375000000000000
1981-01-01,114.3075000000000000
1982-01-01,108.0275000000000000
1983-01-01,117.2725000000000000
1984-01-01,121.0000000000000000
1985-01-01,127.6325000000000000
1986-01-01,136.4700000000000000
1987-01-01,150.7850000000000000
1988-01-01,174.4975000000000000
1989-01-01,211.1750000000000000
1990-01-01,228.5800000000000000
1991-01-01,227.8650000000000000
1992-01-01,225.0450000000000000
1993-01-01,216.5650000000000000
1994-01-01,205.9875000000000000
1995-01-01,202.1925000000000000
1996-01-01,201.6950000000000000
1997-01-01,207.0525000000000000
1998-01-01,224.5275000000000000
1999-01-01,242.4675000000000000
2000-01-01,272.8825000000000000
2001-01-01,307.7125000000000000
2002-01-01,342.0825000000000000
2003-01-01,384.7700000000000000
2004-01-01,472.2950000000000000
2005-01-01,583.3875000000000000
2006-01-01,643.0550000000000000
2007-01-01,608.2375000000000000
2008-01-01,486.7450000000000000
2009-01-01,421.3150000000000000
2010-01-01,408.6550000000000000
2011-01-01,387.3625000000000000
2012-01-01,388.4300000000000000
2013-01-01,435.9350000000000000
2014-01-01,487.9025000000000000
2015-01-01,522.5300000000000000
2016-01-01,559.4825000000000000
2017-01-01,596.0825000000000000
2018-01-01,634.7825000000000000
2019-01-01,655.2900000000000000
2020-01-01,683.1000000000000000
2021-01-01,779.1350000000000000
2022-01-01,900.6175000000000000
2023-01-01,916.3925000000000000
